File	Campus	Collection	Description	Status	Access Restrictions	URL	Extent:Size	Hosted	Need for DAMS solution	Metadata standard	Metadata level	Ready for Surfacing
appendixA.csv	UCSF	Japanese Prints	The UCSF Japanese Woodblock Print Collection consists of four hundred Japanese woodblock prints on health-related themes.	Completed	No	http://asian.library.ucsf.edu/		CDL (Calisphere/OAC)	Low	Dublin Core	Item	
appendixA.csv	UCSB	EDVR Images	Scanned ledger images used in Victor Discography Research Project	Ongoing	Restricted		3.9TB	Local disc storage	High	None	Item	
appendixA.csv	UCSB	Special Colections patron scanning/digitizing requests	Various items from Mss and other collections	Ongoing	Restricted			Local disc storage	High	None	Archival control; primarily folder level	
appendixA.csv	UCSB	digital.library.ucsb.edu	Library's digital collections portal, various mss collections, mostly from Special Collections	Ongoing	No	Digital.library.ucsb.edu		Locally (Omeka server)	High	Some LCNAF	Item	
appendixA.csv	UCSB	EDVR/National Jukebox	Digitized 78rpm discs	Ongoing	No	victor.library.ucsb.edu	1.4TB	Local disc storage and at Library of congress	High	LCNAF; local	Item	
appendixA.csv	UCSB	Cylinder Preservation and Digitization Project	Cylinder recordings, 1894-1928	Ongoing	No	cylinders.library.ucsb.edu	1.3TB	Local disc storage	High	LCSH; LCNAF	Item	
appendixA.csv	UCSB	Air Photos	Air photos held by Map and Imagery Lab (MIL)	Ongoing	Restricted		1TB	Local disc storage	High	Pre 2005 ADL place name dictionary	Pre 2005 frame level; post 2005 collection level	
appendixA.csv	UCSB	Library Calisphere collections	Chicano and Asian-American cultural and visual arts in the California Ethnic and Multicultural Archives	Completed	No		625GB	Calisphere; Local storage	High	LCSH; LCNAF; Chicano Thesarus; AAT; Local	Item	
appendixA.csv	UCSB	Ongoing AV preservation/digitization	Various analog audiovisual materials held by Special Collections (oral histories, separations from mss collections, etc)	Ongoing	Restricted		11.7TB	Local disc storage	High	Some LCNAF/LCSH	Item	
appendixA.csv	UCSB	USGS Topos scanning	7.5' CA topo maps scanned for USGS	Completed	Restricted		2TB	Local disc storage	High	LCSH; LCNAF	Item level; Series level	
appendixA.csv	UCSB	El Teatro Campesino Videos	Videotapes from El Teatro Campesino (Chicano theater group)	Completed	No	http://cemaweb.library.ucsb.edu/ETCList.html	680GB	Local disc storage	High	None	Item	
appendixA.csv	UCSB	California Light and Sound	Participant-contributing Califas (Chicano culture) Videotapes	Ongoing	No	http://archive.org/details/californialightandsound	550GB	Local disc storage; Internet Archive	High		Item	
appendixA.csv	UCSB	Maps	Maps (Various USGS topos)	Completed	Restricted			Local disc storage	High	Unknown		
appendixA.csv	UCSB	MIL patron scanning/digitizing requests	Various Maps	Ongoing	Restricted		1.5TB	Local disc storage	High	LCSH; LCNAF; MIL Call number	Item level; Series level	
appendixA.csv	UCSB	MIL Finding aids	Air photo and map set finding aids	Ongoing	No	http://www.library.ucsb.edu/mil/aerial-photography-tools		Local disc storage	High	Local	Item	
appendixA.csv	UCSC	Lick Observatory Records	Images from the Lick Observatory glass plate negative collection.† This is an ongoing collaboration with the Lick Observatory that currenty has approximately 900 images.	Ongoing	No	http://digitalcollections.ucsc.edu	340GB	Hosted in CONTENTdm	Low	DC 	Item	
appendixA.csv	UCSC	Branson DeCou Digital Collection	Glass plate negatives and slides from the Branson DeCou collection.† More than 1000 images available to date.	Ongoing	No	http://digitalcollections.ucsc.edu	200GB	Hosted in CONTENTdm	Low	DC, VRA Core	Item	
appendixA.csv	UCSC	Regional Oral Histories	Transcripts and audio clips from the UCSC Regional History Project, part of the Special Collections and Archives	Ongoing	No	http://digitalcollections.ucsc.edu	2GB	Hosted in CONTENTdm	Low	DC-MARC	Item	
appendixA.csv	UCSC	Performing Arts Collections	Photos from Frank Kofsky Archive	Ongoing	No	http://digitalcollections.ucsc.edu	25GB	Hosted in CONTENTdm	Low	DC, VRA Core 	Item	
appendixA.csv	UCSC	UCSC Campus History	Photos, documents, maps, audio from campus archive	Ongoing	No	http://digitalcollections.ucsc.edu		Hosted in CONTENTdm, History Pin	Low	DC	Item	
appendixA.csv	UCSC	Grateful Dead Records	Scanned digital objects from the band's archive plus user generated content	Ongoing	Some items restricted	http://www.gdao.org	3 TB	Hosted in CONTENTdm (not public), also in locally-hosted Omeka (public)	Low	DC, MODS, METS	Item	
appendixA.csv	UCSC	Herb Greene Photographs	Photos of 1960's and 70's rock bands, beginning with Grateful Dead.	Ongoing	No	http://www.gdao.org		Hosted in CONTENTdm (not public), also in locally-hosted Omeka (public)	Low	DC, MODS, METS	Item	
appendixA.csv	UCSC	Organic Farming/Sustainable Ag Oral Histories	Oral history transcripts	Completed	No	http://digitalcollections.ucsc.edu		Hosted in CONTENTdm	Low	DC	Item	
appendixA.csv	UCSC	UCSC Map Collections	Local and historical maps, Sanborn maps	Ongoing	No	http://digitalcollections.ucsc.edu	200GB	Hosted in CONTENTdm	Low	DC	Item	
appendixA.csv	UCSC	UCSC Aerial Photograph Collection	Regional aerial photographs	Ongoing	No	http://digitalcollections.ucsc.edu		Hosted in CONTENTdm	Low	DC	Item	
appendixA.csv	UCSC	Dibblee Geologic Maps	Purchased geologic map collection, used by UCSC courses	Completed	Restricted	http://digitalcollections.ucsc.edu		Hosted in CONTENTdm	Low	DC	Item	
appendixA.csv	UCSC	Santa Cruz County Historical Photographs	Local photos from Spec Coll, documenting architecture and earthquake damage	Ongoing	No	http://digitalcollections.ucsc.edu		Hosted in CONTENTdm	Low	DC	Item	
appendixA.csv	UCSC	Hihn-Younger Archive	Transcribed deeds and letters of Santa Cruz historical figure, major land owner	Completed	No	http://digitalcollections.ucsc.edu		Hosted in CONTENTdm	Low	DC	Item	
appendixA.csv	UCSC	Instructional Image Collection	Scanned copystand slide images from books, used by UCSC instructors	Completed	Restricted	artstor.org		ARTStor	Low	VRA Core	Item	
appendixA.csv	UCSC	History of Costume Collection	Scanned publisher collection of slides	Completed	Restricted	artstor.org		ARTStor	Low	VRA Core	Item	
appendixB.csv	UCB	Earthquake and Fire Digital Collection	The 1906 San Francisco Earthquake and Fire Digital Collection is a compilation of selected holdings from collections housed in the archives and special collections of The Bancroft Library, University of California, Berkeley; the California Historical Society, San Francisco; The California State Library, Sacramento; Stanford University Libraries - Special Collections & Archives, Stanford University, Stanford; The Huntington Library, San Marino; and The Society of California Pioneers, San Francisco. Presenting approximately 14,000 images and 7,000 pages of text, the digital collection makes accessible material related to the history of the 1906 earthquake and fire in San Francisco, as well as presenting material on other areas affected throughout the state. The project website for The 1906 San Francisco Earthquake and Fire Digital Collection includes a full introduction to the collection, an online exhibit, 360 degree panorama of the city, an interactive map, and search and browse capabilities.		No	http://bancroft.berkeley.edu/collections/earthquakeandfire/					Item	Yes
appendixB.csv	UCB	Cased Photographs	The Cased Photographs Project provides access to digital images and detailed descriptions of daguerreotypes, ambrotypes, tintypes, and related photographs in the collections of The Bancroft Library and the California State Library. The main goals of this project were to preserve these exceedingly rare and significant pictorial documents, many of which date from the era of the California gold rush, as the first step in the creation of a comprehensive state-wide digital collection of cased photographs. The project was carried out in 1999-2000 with support from the U.S. Institute of Museum and Library Services under the provisions of the Library Services and Technology Act, administered in California by the State Librarian. The result is two archival finding aids with linked digital images which are available as part of the Online Archive of California.		No	http://bancroft.berkeley.edu/collections/casedphotos/project.html					Item	Yes
appendixB.csv	UCB	Disability Rights Movement	The world view on disability has shifted dramatically over the past thirty-five years. In the 1960s and 1970s, for reasons not yet fully explained, the grassroots call for self-determination by people with disabilities resounded through the country and gave birth to the framework of the independent living/disability rights movement that we know today. In the last third of this century, people with disabilities, most of whom had no history of political involvement, have organized and acted to change the conditions of their own lives. It is this period of historic change that is being documented here in the Disability Rights Independent Living Movement [DRILM] national research and documentation project.		No	http://bancroft.berkeley.edu/collections/drilm.html					Item	Yes
appendixB.csv	UCB	Honeyman Collection	The Robert B. Honeyman Jr. Collection of Early Californian and Western American Pictorial Material is comprised of over 2300 items, with formats and media ranging from original oil paintings, watercolors, drawings, lithographs, engravings, etchings, lettersheets, clipper cards, and ephemera, to plates and spoons featuring western themes, and a fore-edge painting. The collection focuses on pictorial interpretations of the old West, with emphasis on the early California and Gold Rush periods. Views depict the changing landscape of the West under the impact of westward migration, the development of towns and cities, early settlements, California missions, railroads, gold mining scenes, pioneer and frontier life, native populations, social history, and many other topics. Many items in the collection are of unique historical value as they represent some of the earliest records of a particular scene, location, or event. Included are the earliest known views of the Presidio of Monterey, Mission Carmel, San Francisco, and Yosemite. Geographically, the collection focuses primarily on California, but also includes images from the Pacific Northwest, other Northern American states, South and Central America, Oceania, Europe, Russia, and other locations. The entire collection covers from ca.1790 through the early 1930s, with the bulk of works dating between 1850 and the 1870s.		No	http://bancroft.berkeley.edu/collections/honeyman.html					Item	Yes
appendixB.csv	UCB	Days of Cal	A virtual tour through the history of the University of California, Berkeley.		No	http://bancroft.berkeley.edu/CalHistory/					Item	Yes
appendixB.csv	UCB	The Chinese in California	The materials selected are drawn from a variety of archival collections, compiled by institutions and libraries with varying missions. Many of the collections have distinctive histories of their own. In some cases entire collections have been included; more often a selection of materials relating to the Chinese in California has been selected from a collection with broader scope. It is our hope that The Chinese in California presents a balanced perspective on a tumultuous and changing history of this community in California. Major issues explored in these records include the Chinese contribution to California and the American West in the 19th and early 20th centuries; the rampant anti-Chinese sentiment encountered by these immigrants, eventually leading to the federal Chinese Exclusion Act of 1892 (repealed in 1943); and settlement and development in various communities, including San Francisco's Chinatown, which remains the largest Chinatown in the United States. The materials presented in The Chinese in California are only a small part of the wealth of historical and archival materials documenting this topic at participating institutions. Users should note the source of the materials found on this site and contact the holding libraries or archives for further information.		No	http://bancroft.berkeley.edu/collections/chineseinca/					Item	Yes
appendixB.csv	UCB	UC History Digital Archives	This websource prototype of the University of California History Digital Archives provides access to a growing collection of digitized historical documents, images and materials, along with past and current analysis on the history of the UC. This project is based at the Center for Studies in Higher Education and has three goals: one, to organize and collaborate with other efforts to preserve and provide access to archival materials; to provide a resource for the academic community and the general public; and three, to promote discussion on the history of the university and its future.		No	http://sunsite.berkeley.edu/uchistory/					Item	Yes
appendixB.csv	UCB	California Loyalty Oath Digital Collection	The California Loyalty Oath Digital Collection brings together a selection of documents and images from the holdings of four repositories at the University of California: the University Archives, The Bancroft Library, UC Berkeley; the University Archives, Young Research Library, UCLA; the Scripps Institution of Oceanography Archives, UC San Diego; and the Office of the Secretary of the Regents, Oakland. The California Loyalty Oath Digital Collection comprises more than 3500 pages of electronic text, more than 30 pictorial images, and 15 audio clips, which document the controversy (1949-1951) that roiled the University during the McCarthy Era. The loyalty oath debate reverberated across the country and caused lasting damage to the reputation of the University and the relations between its faculty and staff, administration, and Board of Regents. This website includes a timeline, resources for further study, and search and browse capabilities.		No	http://bancroft.berkeley.edu/collections/loyaltyoath/					Item	Yes
appendixB.csv	UCB	EECS Technical Reports	The EECS Technical Memorandum Series provides a dated archive of EECS research. It includes Ph.D. theses and master's reports as well as technical documents that complement traditional publication media such as journals. For example, technical reports may document work in progress, early versions of results that are eventually published in more traditional media, and supplemental information such as long proofs, software documentation, code listings, or elaborated examples. Technical reports listed here include the EECS Technical Report series (started in October 2005), the CS Technical Report series (from 1982 to 2005), and the ERL Technical report series (from 1984 to 2005, plus selected titles from before 1984). Full text is included for the EECS and CS series, but not for the ERL series. In the case of the ERL series, full text may be available on other web sites (such as the personal web pages of the authors).		No	http://ucblibrary4.berkeley.edu:8088/xtf/servlet/org.cdlib.xtf.crossQuery.CrossQuery?rmode=btr					Item	Yes
appendixB.csv	UCB	Statistics Reports	Technical Reports (Preprints) for the Department of Statitics, UC Berkeley		No	http://www.stat.berkeley.edu/tech-reports/					Item	Yes
appendixB.csv	UCB	AnthroHub	AnthroHub includes full text journals and monographs produced by the Department of Anthropology at UC Berkeley together with searchable citations and links to anthropological works in all formats created by and about UC Berkeley anthropologists. Included are books, journal articles, book chapters, reference entries, book reviews, oral histories, obituaries and some gray literature, as well as images, sound recordings and audio-visual materials.		No	http://www.lib.berkeley.edu/ANTH/anthrohub/					Item	Yes
appendixB.csv	UCB	Berkeley Symposium on Mathematical Statistics and Probability	Proceedings of the Berkeley Symposium on Mathematical Statistics and Probability. Berkeley: University of California Press, 1946-1971.		No	http://projecteuclid.org/					Item	Yes
appendixB.csv	UCB	Wieslander Vegetation Type Maps & Photographs	In 1926, the U.S. National Forest Service began a natural vegetation survey of California and those portions of Region 5 National Forests and adjacent areas that extended into Nevada and Oregon. The initial purpose was to provide data in support of statewide land use and fire protection policy development. The California survey was headed by A.E. Wieslander, Associate Silviculturist with the USFS California (now Pacific Southwest) Forest and Range Experiment Station. The project became known as the Wieslander Vegetation Type Map (VTM) Survey.		No	http://www.lib.berkeley.edu/BIOS/vtm/					Item	Yes
appendixB.csv	UCD	Bulletin of Calif. Dept. of Water Resources	The Bulletin of the California Department of Water Resources is a collection of volumes published from 1922 to 2004 by the Department and its predecessor agencies.		No	http://archive.org/search.php?query=collection%3A%22cawaterres%22				MARC	Item	Yes
appendixB.csv	UCLA	Motion Picture Stills	American motion picture film stills fron the 1920s on. Includes black and white photographs and some color prints and slides; also includes publicity stills from various studios.		No	http://digital2.library.ucla.edu/viewItem.do?ark=21198/zz0015w23z				Qualified Dublin Core	Item	Yes
appendixB.csv	UCLA	Los Angeles Times Photographic Archive	Photonegatives and photographic prints documenting events and people in Southern California, the U.S., and the world. Materials originate from the Los Angeles Times newspaper and includes glass negatives (ca. 1918-1932), nitrate negatives (ca. 1925-45), and safety negatives (ca. 1935-1990). The collection also includes prints and negatives from the Los Angeles Times Orange County and San Diego bureaus.		No	http://digital2.library.ucla.edu/viewItem.do?ark=21198/zz0002np7z				Qualified Dublin Core	Item	Yes
appendixB.csv	UCLA	Los Angeles Daily News Negatives	Collection consists of photonegatives documenting events and people in Southern California. The material originates from the Los Angeles Daily News newspaper and includes glass negatives, nitrate negatives, and safety negatives.		No	http://digital2.library.ucla.edu/viewItem.do?ark=21198/zz00294nz8				Qualified Dublin Core	Item	Yes
appendixB.csv	UCLA	Neutra (Richard and Dion) Collections	A collection of modernist architect Richard Neutra's architectural and non-architectural art works, including photographs and drawings of his structures, architectural drafts and sketches, small paintings, intaglio prints, travel sketches and descriptive manuscripts.		No	http://digital2.library.ucla.edu/viewItem.do?ark=21198/zz0008b9tw				Qualified Dublin Core	Item	Yes
appendixB.csv	UCLA	Huxley (Aldous) Papers	Collection consists of digitized photographs and negatives, as well as sound recordings, from the Aldous and Laura Huxley papers.		No	http://digital2.library.ucla.edu/viewItem.do?ark=21198/zz00253vz2				Qualified Dublin Core	Item	Yes
appendixB.csv	UCLA	AIDS Poster collection	AIDS posters from 44 countries. Demonstrates the efforts taken by various countries to promote AIDS awareness and modify risk behaviors. The physical collection was originally acquired by the History and Special Collections division of the Louise M. Darling Biomedical Library in 2005, and has been expanded through later acquisitions.		No	http://digital2.library.ucla.edu/viewItem.do;?ark=21198/zz0002ksb2				Qualified Dublin Core	Item	Yes
appendixB.csv	UCLA	Arkatov Collection of photographs of musicians	Photographs of Jazz soloists performing in the Los Angeles and Pittsburg areas, taken by cellist James Arkatov. Arkatov was the artistic founder of the Los Angeles Chamber Orchestra, as well as a cellist with the Pittsburgh Symphony, the Indianapolis Symphony, the San Francisco Symphony, and NBC's orchestra. The collection contains over 500 black and white and color photographs.		No	http://digital2.library.ucla.edu/viewItem.do?ark=21198/zz001dzc12				Qualified Dublin Core	Item	Yes
appendixB.csv	UCLA	UCLA Historic Photographs	A collection photographs related to the history of UCLA, beginning with the Vermont Avenue Campus in 1927; the Westwood campus groundbreaking ceremony in 1927; the construction of Royce Hall, the Powell Library building and Kinsey Hall (the Physics building); models of the earliest buildings, and the moving days to the Westwood campus, among others. A highlight includes the photographs of the first snowfall on campus.		No	http://digital2.library.ucla.edu/viewItem.do?ark=21198/zz00000bv3				Qualified Dublin Core	Item	Yes
appendixB.csv	UCLA	Bruman Map Collections	The Henry J. Bruman Map Collection at UCLA contains historical and contemporary maps from around the world. The digital collection focuses on historical maps of California, Los Angeles County, and the city of Los Angeles with an emphasis on maps from 1860-1950. This is an ongoing project and maps will be added to this collection as they are scanned and processed.		No	http://digital2.library.ucla.edu/viewItem.do?ark=21198/zz0028tr8x				Qualified Dublin Core	Item	Yes
appendixB.csv	UCLA	Weber (Mark) Collection	A collection of jazz writer Mark Weber's photographs of experimental jazz musicians during the 1970's-2000's, with predominant focus on photos taken on the West Coast from 1976-1985. Features autographed prints, portraits and publicity shots of artists, and photographs of festivals and public performances, including multiple years of the Playboy Jazz Festival in Los Angeles and the San Francisco Blues Festival.		No	http://digital2.library.ucla.edu/viewItem.do?ark=21198/zz00095z2v				Qualified Dublin Core	Item	Yes
appendixB.csv	UCLA	UCLA Preserved Silent Animation	Although best-known for its restoration of feature films, UCLA Film & Television Archive has been preserving animated films for more than three decades, with over one hundred titles to its credit. The short subjects, trailers, and promotional films presented here provide a sampling of that work.		No	http://animation.library.ucla.edu/				Qualified Dublin Core	Item	Yes
appendixB.csv	UCLA	ca. 73 additional collections	Photographs, bound manuscripts (Medieval, Renaissance through to the 19th century; Arabic, Persian, Armenian, Ethiopic), maps, oral histories, newspapers, TEI texts, sound recordings		No	http://digital2.library.ucla.edu				Qualified Dublin Core	Item	Yes
appendixB.csv	UCLA	UCLA Center for Oral History Research	UCLA Library's Center for Oral History Research documents the history of Southern California and the Los Angeles metropolitan region through oral history interviews. In addition to interviews conducted by its own staff, the center accepts donated interviews that enhance its collecting areas. Its staff members also undertake selected grant-funded projects that cover subjects beyond the Southern California area.		No	http://oralhistory.library.ucla.edu				Qualified Dublin Core	Item	Yes
appendixB.csv	UCLA	Chicano Studies Research Center			No					Qualified Dublin Core	Item	Yes
appendixB.csv	UCLA	Ethnomusicology Archive: D. K. Wilgus Archive	The D.K. Wilgus Folksong Collection consists of approximately 8,000 commercially recorded albums of traditional music, song, and narrative as well as 1,000 field-recorded tapes.		No	http://digital2.library.ucla.edu/viewItem.do;?ark=21198/zz00089bvf				Qualified Dublin Core	Item	Yes
appendixB.csv	UCLA	Internet Archive collections	Large number of books and other printed material.		No	http://archive.org				Qualified Dublin Core	Item	Yes
appendixB.csv	UCM	Song GIS	Web archive for Digital Gazetteer of Song Dynasty China		No	http://songgis.ucmercedlibrary.info/				MARC		Yes
appendixB.csv	UCSD	Advertising Artwork of Dr. Seuss	Sketches and drawings from the Theodor Seuss Geisel Collections.		No					MODS; METS	Item	Yes
appendixB.csv	UCSD	Dr. Seuss Went to War	A collection of political cartoons by Dr. Seuss.							MARC; MODS; METS	Item	Yes
appendixB.csv	UCSD	Southworth Spanish Civil War Collection	Selections documenting Spain's Second Republic (1931-1936), the Spanish Civil War (1936-1939) and the post-War years of the 1940s including Call To Arms, Adhesive Propaganda, Shots of War, Southworth Spanish Civil War, The Visual Front, Spanish Civil War Memory Project.		No					MODS; METS	Item	Yes
appendixB.csv	UCSD	Harold Scheffler Papers (Melanesian Archive)	Schefflerís papers document his ethnographic research in the Solomon Islands , specifically his dissertation fieldwork on Choiseul Island and his comparative study of religious revitalization movements and separatist churches on Rendova Island.		No					MODS; METS	Item	Yes
appendixB.csv	UCSD	Roger Keesing Papers (Melanesian Archive)	Keesing was a cultural and linguistic anthropologist and his papers document the research and material generated from his interest in the Solomon Islands, primarily in the culture, history and language of the Kwaio people.		Some items restricted					MODS; METS	Item	Yes
appendixB.csv	UCSD	Sylvester M. Lambert Papers (Melanesian Archive)	This collection consists of the manuscript drafts of reports, writings, photographs, and lantern slides related to Lambert's public health work conducted in the Pacific Islands for the Rockefeller Foundation.		Some items restricted					MODS; METS	Item	Yes
appendixB.csv	UCSD	Scripps Images	Selections from the Scripps Institution of Oceanography Library collections documenting its history and contributions to science.		Some items restricted					MODS; METS	Item	Yes
appendixB.csv	UCSD	Visual Front: Spanish Civil War Posters	Selections documenting Spain's Second Republic (1931-1936), the Spanish Civil War (1936-1939) and the post-War years of the 1940s including Call To Arms, Adhesive Propaganda, Shots of War, Southworth Spanish Civil War, The Visual Front, Spanish Civil War Memory Project.		No					MARC; MODS; METS	Item	Yes
appendixB.csv	UCSD	Shots of War	Selections documenting Spain's Second Republic (1931-1936), the Spanish Civil War (1936-1939) and the post-War years of the 1940s including Call To Arms, Adhesive Propaganda, Shots of War, Southworth Spanish Civil War, The Visual Front, Spanish Civil War Memory Project.		No					MODS; METS	Item	Yes
appendixB.csv	UCSD	Harry Crosby Collection	Black & white photographs of Sonora and Baja California taken by Harry Crosby. These materials are used widely by programs in Mexican history and ethnic studies.		No					MODS; METS	Item	Yes
appendixB.csv	UCSD	Marquis McDonald Photographs	Selections documenting the culture, history and natural history of Baja California taken by Marquis McDonald; document the peninsula's missions, ruins, and scenery.		No					MODS; METS	Item	Yes
appendixB.csv	UCSD	Howard E. Gulick Papers	Photographs of Baja California's landscapes, coastlines, cities and built environment taken by Howard Gulick.		No					MODS; METS	Item	Yes
appendixB.csv	UCSD	Call to Arms: Communist Ephemera of Madrid During the Spanish Civil War	Selections documenting Spain's Second Republic (1931-1936), the Spanish Civil War (1936-1939) and the post-War years of the 1940s including Call To Arms, Adhesive Propaganda, Shots of War, Southworth Spanish Civil War, The Visual Front, Spanish Civil War Memory Project.		No					MODS; METS	Item	Yes
appendixB.csv	UCSD	Estado que manifiesta el que tenian las misiones de la antigua California	Holograph statistical report of the human and livestock population, acreage, and agricultural output at 14 Baja California missions at the end of June 1775 while under Dominican curatorship.		No					MARC; MODS; METS	Item	Yes
appendixB.csv	UCSD	Missions of Alta California	Images from the series of albumen photographs by William Henry Jackson, loaned from the collection of Kenneth E. and Dorothy V. Hill		No					MARC; MODS; METS	Item	Yes
appendixB.csv	UCSD	UCSD History: Oral Histories / 50th Anniversary	Oral interviews with faculty and campus leaders. These historical resources were digitized to celebrate UCSD's golden anniversary in 2010-2011.		No					MARC; MODS; METS	Item	Yes
appendixB.csv	UCSD	Korean Posters	66 political posters purchased by Jim Cheng from Beijing Sunyong Scientific Trade Company, September, 2007.		No					MARC; MODS; METS	Item	Yes
appendixB.csv	UCSD	Paul G. Pickowicz Collection of Chinese Cultural Revolution Posters	A collection of 77 posters relating to the Cultural Revolution donated to the Library by UCSD Professor Paul Pickowicz.		No					MARC; MODS; METS	Item	Yes
appendixB.csv	UCSF	Cholera Collection	Pamphlet collection		No	https://digital.library.ucsf.edu/				Dublin Core	Item	Yes
appendixB.csv	UCSB	UCSB Libraries Digital Collections	Library's digital collections portal, various mss collections, mostly from Special Collections		No	http://digital.library.ucsb.edu				Dublin Core	Item	Yes
