Appendix A (DAMS),,,,,,,,,,
,,,,,,,,,,
Campus,Collection,Description,Status,Access Restrictions,URL,Extent:Size,Hosted,Metadata level,Metadata standard,Need for DAMS solution
UCSB,EDVR/National Jukebox,Digitized 78rpm discs,Ongoing ,Public,victor.library.ucsb.edu,1.4TB,Local disc storage and at Library of congress,Item,LCNAF; local,High
UCSB,Cylinder Preservation and Digitization Project ,"Cylinder recordings, 1894-1928",Ongoing ,Public,cylinders.library.ucsb.edu,1.3TB,Local disc storage,Item,LCSH; LCNAF,High
UCSB,Air Photos,Air photos held by Map and Imagery Lab (MIL),Ongoing ,"Restricted-Fee access for non UC, mediated access for UC research",,~1TB,Local disc storage,Pre 2005 frame level; post 2005 collection level,Pre 2005 ADL place name dictionary,High
UCSB,Library Calisphere collections,Chicano and Asian-American cultural and visual arts in the California Ethnic and Multicultural Archives,Completed,Public,California Digital Library; Calisphere. ,625GB,Calisphere; Local storage,Item,LCSH; LCNAF; Chicano Thesarus; AAT; Local,High
UCSB,Ongoing AV preservation/digitization,"Various analog audiovisual materials held by Special Collections (oral histories, separations from mss collections, etc)",Ongoing ,"Other-Dark Archive, but available to researchers upon request",,11.7TB,Local disc storage,Item,Some LCNAF/LCSH,High
UCSB,USGS Topos scanning,7.5' CA topo maps scanned for USGS,Completed,Scanned for USGS project-No access provided by UCSB,,2TB,Local disc storage,Item level; Series Level,LCSH; LCNAF,High
UCSB,El Teatro Campesino Videos,Videotapes from El Teatro Campesino (Chicano theater group),Completed,Public,http://cemaweb.library.ucsb.edu/ETCList.html,680GB,Local disc storage,Item,None,High
UCSB,California Light and Sound,Participant-contributing Califas (Chicano culture) Videotapes,Ongoing ,Public,http://archive.org/details/californialightandsound,550GB,Local disc storage; Internet Archive,Item,,High
UCSB,Maps,Maps (Various USGS topos),Completed,Other-Dark Archive,,,Local disc storage,Missing,Unknown,High
UCSB,MIL patron scanning/digitizing requests,Various Maps,Ongoing ,"Other-Dark Archive, but available to researchers upon request",,1.5TB,Local disc storage,Item level; Series Level,LCSH; LCNAF; MIL Call number,High
UCSB,MIL Finding aids,Air photo and map set finding aids,Ongoing ,Public,http://www.library.ucsb.edu/mil/aerial-photography-tools,,Local disc storage,Item,Local,High
UCSC,Lick Observatory Records ,Images from the Lick Observatory glass plate negative collection.  This is an ongoing collaboration with the Lick Observatory that currenty has approximately 900 images. ,Ongoing,None,http://digitalcollections.ucsc.edu,340GB,Hosted by CONTENTdm,Item,DC ,Low
UCSC,Branson DeCou Digital Collection ,Glass plate negatives and slides from the Branson DeCou collection.  More than 1000 images available to date. ,Ongoing,None,http://digitalcollections.ucsc.edu ,200GB,Hosted by CONTENTdm,Item,"DC, VRA Core",Low
UCSC,Regional Oral Histories ,"Transcripts and audio clips from the UCSC Regional History Project, part of the Special Collections and Archives",Ongoing,None,http://digitalcollections.ucsc.edu ,2GB,Hosted by CONTENTdm,Item,DC-MARC,Low
UCSC,Performing Arts Collections ,Photos from Frank Kofsky Archive,"Initial load complete, but will be ongoing",None,http://digitalcollections.ucsc.edu ,25GB,Hosted by CONTENTdm,Item,"DC, VRA Core ",Low
UCSC,UCSC Campus History ,"Photos, documents, maps, audio from campus archive",Ongoing,None,http://digitalcollections.ucsc.edu ,,"Hosted by CONTENTdm, History Pin",Item,DC,Low
UCSC,Grateful Dead Records,Scanned digital objects from the band's archive plus user generated content,Ongoing,Some objects with rights issues restricted by IP range,http://www.gdao.org,3 TB,"Hosted in CONTENTdm (not public), also in locally-hosted Omeka (public)",Item,"DC, MODS, METS",Low
UCSC,Herb Greene Photographs,"Photos of 1960's and 70's rock bands, beginning with Grateful Dead.",Ongoing,None,http://www.gdao.org,,"Hosted in CONTENTdm (not public), also in locally-hosted Omeka (public)",Item,"DC, MODS, METS",Low
UCSC,Organic Farming/Sustainable Ag Oral Histories,Oral history transcripts ,Completed,None,http://digitalcollections.ucsc.edu,,Hosted in CONTENTdm,Item,DC,Low
UCSC,UCSC Map Collections,"Local and historical maps, Sanborn maps",Ongoing,None,http://digitalcollections.ucsc.edu,200GB,Hosted in CONTENTdm,Item,DC,Low
UCSC,UCSC Aerial Photograph Collection,Regional aerial photographs,Ongoing,None,http://digitalcollections.ucsc.edu,,Hosted in CONTENTdm,Item,DC,Low
UCSC,Dibblee Geologic Maps,"Purchased geologic map collection, used by UCSC courses",Completed,Restricted to campus (by publisher agreement),http://digitalcollections.ucsc.edu,,Hosted in CONTENTdm,Item,DC,Low
UCSC,Santa Cruz County Historical Photographs,"Local photos from Spec Coll, documenting architecture and earthquake damage","Initial load completed, will be ongoing",None,http://digitalcollections.ucsc.edu,,Hosted in CONTENTdm,Item,DC,Low
UCSC,Hihn-Younger Archive,"Transcribed deeds and letters of Santa Cruz historical figure, major land owner",Completed,None,http://digitalcollections.ucsc.edu,,Hosted by CONTENTdm,Item,DC,Low
UCSC,Instructional Image Collection,"Scanned copystand slide images from books, used by UCSC instructors",Completed,UC-only,artstor.org,,Hosted in ARTStor,Item,VRA Core,Low
UCSC,History of Costume Collection,Scanned publisher collection of slides,Completed,UC-only,artstor.org,,Hosted in ARTStor,Item,VRA Core,Low
